title,recipe_link,img_link,ingredients,yield,nutrients,region,meal_type,subregion,total_calories,total_protein,total_fat,total_carb
Cinnamon-Roasted Almonds,https://www.allrecipes.com/recipe/15720/cinnamon-roasted-almonds/,https://www.allrecipes.com/thmb/YX0zsJ1GGLsBqfcKLzbHP4g3YtA=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/317593-a9b9cb28756b43e088821f22507c6d3d.jpg,"['1 large egg white', '1 teaspoon cold water', '4 cups whole almonds', '0.5 cup white sugar', '0.5 teaspoon ground cinnamon', '0.25 teaspoon salt']",16 servings,"{'calories': '231 kcal', 'carbohydrateContent': '13 g', 'fiberContent': '4 g', 'proteinContent': '8 g', 'saturatedFatContent': '1 g', 'sodiumContent': '40 mg', 'sugarContent': '8 g', 'fatContent': '18 g', 'unsaturatedFatContent': '0 g'}",usa,dessert,jewish,3762.67,122.03,294.8,217.37
Cinnamon-Sugar Popcorn,https://www.allrecipes.com/recipe/59854/cinnamon-sugar-popcorn/,https://www.allrecipes.com/thmb/aFF7gKD4u5DoPYp1YLfsUbC66aw=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/3996662-5045e2fd74514880a8dfc343fe8a91a3.jpg,"['1 cup unpopped popcorn', '0.33329999446869 cup butter', '0.66666668653488 cup white sugar', '2 teaspoons ground cinnamon', '0.5 teaspoon salt', '0.5 teaspoon vanilla extract']",16 servings,"{'calories': '114 kcal', 'carbohydrateContent': '18 g', 'cholesterolContent': '10 mg', 'fiberContent': '2 g', 'proteinContent': '2 g', 'saturatedFatContent': '3 g', 'sodiumContent': '100 mg', 'sugarContent': '9 g', 'fatContent': '4 g', 'unsaturatedFatContent': '0 g'}",usa,dessert,",state_va,state_wv",1118.7,1.44,63.51,142.83
Cioccolata Calda (Hot Chocolate Italian-Style),https://www.allrecipes.com/recipe/216167/cioccolata-calda-hot-chocolate-italian-style/,https://www.allrecipes.com/thmb/BBczsWYVNvbfXorR9_LnejIOzyg=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/4207997_Cioccolata-Calda-Hot-Chocolate-Italian-Style-4x3-1-b8f56a4d77f74233a3cbdd6a04a17a1e.jpg,"['3 tablespoons cocoa powder', '1.5 tablespoons white sugar', '1.5 cups milk', '2 tablespoons milk', '1 tablespoon cornstarch']",2 servings,"{'calories': '169 kcal', 'carbohydrateContent': '27 g', 'cholesterolContent': '16 mg', 'fiberContent': '3 g', 'proteinContent': '8 g', 'saturatedFatContent': '3 g', 'sodiumContent': '83 mg', 'sugarContent': '19 g', 'fatContent': '5 g', 'unsaturatedFatContent': '0 g'}",european,drinks,italian,360.64,16.13,9.05,54.21
Cioppino,https://www.allrecipes.com/recipe/12816/cioppino/,https://www.allrecipes.com/thmb/Tj2xI4-ElFoxS8Rc_wAwWf0cO5g=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/12816-cioppino-AllrecipesMagazine-0aa0a97da5bd45bfb55ed5f5b893e837.jpg,"['0.75 cup butter', '2 onions, chopped', '1 bunch fresh parsley, chopped', '2 cloves garlic, minced', '2 (14.5 ounce) cans stewed tomatoes', '2 (14.5 ounce) cans chicken broth', '1.5 cups white wine', '1 cup water', '2 bay leaves', '1 tablespoon dried basil', '0.5 teaspoon dried thyme', '0.5 teaspoon dried oregano', '1.5 pounds cod fillets, cubed', '1.5 pounds large shrimp - peeled and deveined', '1.5 pounds bay scallops', '18 small clams', '18 mussels, cleaned and debearded', '1.5 cups crabmeat']",13 servings,"{'calories': '318 kcal', 'carbohydrateContent': '9 g', 'cholesterolContent': '164 mg', 'fiberContent': '1 g', 'proteinContent': '35 g', 'saturatedFatContent': '7 g', 'sodiumContent': '755 mg', 'sugarContent': '4 g', 'fatContent': '13 g', 'unsaturatedFatContent': '0 g'}",european,"main,soups_and_stews",italian,7089.17,905.01,237.12,233.48
Citrons Confits Express (Quick Preserved Lemons),https://www.allrecipes.com/recipe/257169/citrons-confits-express-quick-preserved-lemons/,https://www.allrecipes.com/thmb/WwNHPMLKYfX0NJijU4C85oxsw6A=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/7964516-4ae4f8705533470aa86756cccc842533.jpg,"['2 lemons, sliced into thin wedges', '0.25 cup water', '2 tablespoons water', '1 lemon, juiced', '1 tablespoon salt']",8 servings,"{'calories': '8 kcal', 'carbohydrateContent': '4 g', 'fiberContent': '2 g', 'proteinContent': '1 g', 'sodiumContent': '874 mg', 'fatContent': '0 g', 'unsaturatedFatContent': '0 g'}",african,,north_african,59.28,2.02,0.62,18.97
Citrus Ceviche,https://www.allrecipes.com/recipe/12796/citrus-ceviche/,https://www.allrecipes.com/thmb/Gc0UZx1lSMmE50oNM85y3wvjo-8=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/4481076-ecac79ee269e4d38a4c96ba8de255bdb.jpg,"['0.5 cup fresh lemon juice', '0.25 cup fresh lime juice', '0.25 cup fresh orange juice', '1 teaspoon grated fresh ginger', '2 tablespoons extra virgin olive oil', '1 pound fresh sea bass fillets, sliced 1/4 inch thick', '0.25 cup chopped fresh cilantro', '1 onion, thinly sliced', '2 avocados - peeled, pitted, and cubed', 'salt and pepper to taste', '4 hard-cooked eggs, quartered']",4 servings,"{'calories': '440 kcal', 'carbohydrateContent': '17 g', 'cholesterolContent': '259 mg', 'fiberContent': '8 g', 'proteinContent': '30 g', 'saturatedFatContent': '5 g', 'sodiumContent': '150 mg', 'sugarContent': '5 g', 'fatContent': '29 g', 'unsaturatedFatContent': '0 g'}",latin_american,,south_american,1844.33,142.82,117.23,65.85
Citrus Ice Pops,https://www.allrecipes.com/recipe/217008/citrus-ice-pops/,https://www.allrecipes.com/thmb/8RdCyvwVDpIs_9Hy2XJzVJAgNpc=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/654622-5d193ad08d124c5d8010cde13b490d47.jpg,"['0.5 cup grapefruit juice', '1 cup orange juice', '0.25 cup water', '2 tablespoons lemon juice', '2 tablespoons white sugar', '1 (8 ounce) container vanilla yogurt', '0.5 cup chopped strawberries']",6 servings,"{'calories': '80 kcal', 'carbohydrateContent': '17 g', 'cholesterolContent': '2 mg', 'fiberContent': '0 g', 'proteinContent': '2 g', 'saturatedFatContent': '0 g', 'sodiumContent': '26 mg', 'sugarContent': '14 g', 'fatContent': '1 g', 'unsaturatedFatContent': '0 g'}",usa,,state_ca,482.6,14.26,3.74,101.9
Citrus Jell-O® Salad,https://www.allrecipes.com/recipe/229394/citrus-jell-o-salad/,https://www.allrecipes.com/thmb/G7RFFHVju8CXzMIakfT_r-zhhaE=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/2920377-6a9e00a972604ec5a6858515d0e5c0bb.jpg,"['1 (6 ounce) package orange flavored Jell-O® mix', '2 cups boiling water', '1 cup cold water', '1 cup orange juice', '1 (15 ounce) can red grapefruit, drained', '1 (11 ounce) can mandarin oranges, drained', '1 (8 ounce) container frozen non-dairy whipped topping, thawed', '1 (8 ounce) jar mayonnaise']",8 servings,"{'calories': '417 kcal', 'carbohydrateContent': '37 g', 'cholesterolContent': '11 mg', 'fiberContent': '1 g', 'proteinContent': '3 g', 'saturatedFatContent': '10 g', 'sodiumContent': '251 mg', 'sugarContent': '36 g', 'fatContent': '30 g', 'unsaturatedFatContent': '0 g'}",usa,,state_ca,2672.17,12.37,228.38,154.04
Citrus Shortbread Cookies,https://www.allrecipes.com/recipe/218878/citrus-shortbread-cookies/,https://www.allrecipes.com/thmb/z0zQ2oWgmZ7f3W2ijROOEKwbtTA=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1164242-citrus-shortbread-cookies-uwland-1x1-1-76df35c7c69743bab96fc1f0b64d9626.jpg,"['2 cups all-purpose flour', '0.25 teaspoon baking powder', '0.125 teaspoon salt', '1 cup butter, softened', ""0.75 cup confectioners' sugar"", '2 teaspoons vanilla extract', '0.5 teaspoon almond extract', '1 tablespoon grated orange zest, or more to taste', '2 cups sweetened dried cranberries, chopped']",24 servings,"{'calories': '153 kcal', 'carbohydrateContent': '20 g', 'cholesterolContent': '20 mg', 'fiberContent': '1 g', 'proteinContent': '1 g', 'saturatedFatContent': '5 g', 'sodiumContent': '72 mg', 'sugarContent': '10 g', 'fatContent': '8 g', 'unsaturatedFatContent': '0 g'}",usa,,state_la,3881.43,28.4,190.08,541.37
Citrus Spinach Salad with Feta and Cranberry Dressing,https://www.allrecipes.com/recipe/278491/citrus-spinach-salad-with-feta-and-cranberry-dressing/,https://www.allrecipes.com/thmb/EiZlGtn7N8NYmBibxIUrGAj56iQ=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/5324579-d41e1221d9654fadaa355d42286c01f8.jpg,"['0.5 cup coarsely chopped walnuts', '1 orange', '2 pink grapefruit', '1 (5 ounce) package baby spinach leaves', '0.5 cup crumbled feta cheese', '2 tablespoons cranberry juice, or as needed', '0.5 cup olive oil', '2 tablespoons turbinado sugar (such as Sugar in the Raw®)', '1 teaspoon dried parsley', '0.5 teaspoon kosher salt']",4 servings,"{'calories': '491 kcal', 'carbohydrateContent': '28 g', 'cholesterolContent': '17 mg', 'fiberContent': '4 g', 'proteinContent': '7 g', 'saturatedFatContent': '8 g', 'sodiumContent': '479 mg', 'sugarContent': '21 g', 'fatContent': '41 g', 'unsaturatedFatContent': '0 g'}",usa,,state_ca,1984.73,29.29,164.43,119.45
Citrus Walnut Salad,https://www.allrecipes.com/recipe/257076/citrus-walnut-salad/,https://www.allrecipes.com/thmb/axOGveHXkQgA12rTW3To1zHsXTo=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/4471505-2af209bf03c14977901cdf7f3aa44301.jpg,"['0.5 cup chopped walnuts', '2 large oranges, zested', '1 pink grapefruit', '1 (5 ounce) bag mixed salad greens', '0.5 cup crumbled feta cheese', '2 tablespoons pomegranate juice, or more as needed', '2 tablespoons white sugar', '1 teaspoon dried parsley', '0.5 teaspoon salt', '0.5 cup vegetable oil']",4 servings,"{'calories': '495 kcal', 'carbohydrateContent': '30 g', 'cholesterolContent': '17 mg', 'fiberContent': '5 g', 'proteinContent': '7 g', 'saturatedFatContent': '8 g', 'sodiumContent': '510 mg', 'sugarContent': '23 g', 'fatContent': '41 g', 'unsaturatedFatContent': '0 g'}",usa,,state_ca,1986.45,27.29,165.43,120.14
Citrus-Honey Green Tea,https://www.allrecipes.com/recipe/162897/citrus-honey-green-tea/,https://www.allrecipes.com/thmb/J3WCgKtEwXmjVTiBYdLxRFQVmxg=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/3897307-efff5a5eb3c6428596f5da2f857b40b7.jpg,"['1 (2 inch) piece lemon zest, cut into thin slivers', '2 teaspoons boiling water', '2 teaspoons green tea powder', '0.75 cup hot water', '0.5 cup freshly squeezed grapefruit juice', '3 tablespoons freshly squeezed lemon juice', '1 teaspoon honey']",1 serving,"{'calories': '89 kcal', 'carbohydrateContent': '23 g', 'fiberContent': '0 g', 'proteinContent': '1 g', 'sodiumContent': '9 mg', 'sugarContent': '7 g', 'fatContent': '0 g', 'servingSize': '1 -1/3 cups', 'unsaturatedFatContent': '0 g'}",usa,,state_ca,82.94,1.02,0.19,21.62
City Ceviche,https://www.allrecipes.com/recipe/223259/city-ceviche/,https://www.allrecipes.com/thmb/Tw8RQMWnQ5nTX2WUNp2RlSjormQ=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1105877-16f18e85930d4913851646fa96041b09.jpg,"['0.5 pound sea scallops', '0.5 pound shrimp, peeled and deveined', '0.5 cup fresh lime juice', '2 tablespoons fresh orange juice', '1 tablespoon grated orange zest', '0.5 cup halved, thinly sliced red onion', '1 finely chopped red bell pepper', '1 finely chopped yellow bell pepper', '1 cup diced seeded tomato', '1 small serrano chile pepper, seeded and minced', '0.5 cup coarsely chopped fresh cilantro', 'kosher salt to taste', '0.125 teaspoon ground cumin', '0.125 teaspoon cayenne pepper', '1 avocado, diced', '1 tablespoon olive oil']",12 servings,"{'calories': '83 kcal', 'carbohydrateContent': '5 g', 'cholesterolContent': '37 mg', 'fiberContent': '2 g', 'proteinContent': '7 g', 'saturatedFatContent': '1 g', 'sodiumContent': '109 mg', 'sugarContent': '2 g', 'fatContent': '4 g', 'unsaturatedFatContent': '0 g'}",usa,,state_ca,1228.73,110.85,50.43,97.35
City Chicken,https://www.allrecipes.com/recipe/21441/city-chicken/,https://www.allrecipes.com/thmb/6cRWJ6j3gW0LCMsOdZcBJewIEZ0=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/221796-08024c3bf4dc4c2e84bcd8bab2aa58ef.jpg,"['1.25 pounds pork loin, cut into 1 inch cubes', '1.5 cups all-purpose flour for coating', 'salt and pepper to taste', '2 cups chicken broth', '1 pinch dried thyme', '1 bay leaf']",4 servings,"{'calories': '372 kcal', 'carbohydrateContent': '36 g', 'cholesterolContent': '67 mg', 'fiberContent': '1 g', 'proteinContent': '28 g', 'saturatedFatContent': '4 g', 'sodiumContent': '41 mg', 'sugarContent': '0 g', 'fatContent': '12 g', 'unsaturatedFatContent': '0 g'}",usa,,state_pa,1802.55,172.59,52.94,145.65
Clam Bake,https://www.allrecipes.com/recipe/91837/clam-bake/,https://www.allrecipes.com/thmb/u6QZevgofZROaEwsekiWRtDcgBQ=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8142118-61207ec258ad4938955acfc0a3ab14ab.jpg,"['8 medium red potatoes, scrubbed', '1 pound clams in shell, scrubbed', '1 pound mussels, cleaned and debearded', '0.5 pound unpeeled large shrimp', '1 (48 fluid ounce) can chicken broth', '0.25 cup dry vermouth', '1.5 cups butter, divided', '1 loaf French bread']",4 servings,"{'calories': '1383 kcal', 'carbohydrateContent': '137 g', 'cholesterolContent': '294 mg', 'fiberContent': '10 g', 'proteinContent': '42 g', 'saturatedFatContent': '45 g', 'sodiumContent': '3133 mg', 'sugarContent': '11 g', 'fatContent': '74 g', 'unsaturatedFatContent': '0 g'}",usa,,new_england,7018.15,376.52,326.78,621.27
Clam Chowder III,https://www.allrecipes.com/recipe/26395/clam-chowder-iii/,https://www.allrecipes.com/thmb/OftLHhvwwXJZEWZgnhqYz3ICmHc=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1115967-f548dceca7864c6ab48543a33f199dca.jpg,"['1 cup chopped onion', '3 cloves garlic', '4 cups peeled and diced potatoes', '1 cup diced celery', '1 teaspoon salt', '0.5 teaspoon ground black pepper', '2 (10 ounce) cans minced clams, drained with juice reserved', '1 quart half-and-half cream', '0.5 teaspoon white sugar', '0.75 cup butter, melted', '0.75 cup all-purpose flour']",6 servings,"{'calories': '706 kcal', 'carbohydrateContent': '47 g', 'cholesterolContent': '183 mg', 'fiberContent': '3 g', 'proteinContent': '33 g', 'saturatedFatContent': '26 g', 'sodiumContent': '742 mg', 'sugarContent': '3 g', 'fatContent': '44 g', 'unsaturatedFatContent': '0 g'}",usa,,",state_ma,state_me,state_nh",4472.57,207.47,251.88,349.56
Clam Fritters,https://www.allrecipes.com/recipe/12742/clam-fritters/,https://www.allrecipes.com/thmb/w8_3jF_gzN0BHOx5KZuqbaU8USE=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1043881-clam-fritters-Lori-4x3-1-f3439fbcd7f346a0a538ddea8d52f301.jpg,"['1 egg', '0.5 cup all-purpose flour', '0.5 cup milk', '1 cup minced clams', '0.25 teaspoon salt', '0.125 teaspoon ground black pepper', '2 tablespoons minced onion', '2 tablespoons minced green bell pepper', '0.5 cup vegetable oil']",4 servings,"{'calories': '346 kcal', 'carbohydrateContent': '15 g', 'cholesterolContent': '53 mg', 'fiberContent': '1 g', 'proteinContent': '6 g', 'saturatedFatContent': '4 g', 'sodiumContent': '184 mg', 'sugarContent': '2 g', 'fatContent': '30 g', 'unsaturatedFatContent': '0 g'}",usa,,",state_id,state_ri",1669.04,75.39,120.08,70.4
Clam Sauce with Linguine,https://www.allrecipes.com/recipe/47125/clam-sauce-with-linguine/,https://www.allrecipes.com/thmb/y7tzXSBqE45FwmSzGiThxfLGc0E=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/803820-977600b1fc894ee79a9d5d2429ee2aa0.jpg,"['1 (16 ounce) package linguine pasta', '0.5 cup butter', '3 cloves chopped garlic', '1 pound fresh mushrooms, sliced', '2 (6.5 ounce) cans chopped clams with juice', '0.5 cup chopped fresh parsley', '1 teaspoon salt', '0.5 teaspoon ground white pepper', '0.25 cup grated Parmesan cheese']",4 servings,"{'calories': '795 kcal', 'carbohydrateContent': '93 g', 'cholesterolContent': '127 mg', 'fiberContent': '5 g', 'proteinContent': '43 g', 'saturatedFatContent': '16 g', 'sodiumContent': '939 mg', 'sugarContent': '5 g', 'fatContent': '29 g', 'unsaturatedFatContent': '0 g'}",usa,,state_id,2282.97,107.64,111.18,218.91
